Tullett;2.304.660.377;11.985;3.842,32
BTG;1.433.954.125;7.450;3.841,53
BGC Liquidez;871.042.374;4.550;3.840,98
Capital;670.534.125;3.500;3.834,64
XP;658.417.750;3.420;3.839,99
Concórdia;434.285.875;2.260;3.831,58
JP Morgan;394.656.250;2.070;3.837,12
Coinvalores;392.614.875;2.040;3.851,13
Ativa;376.020.623;1.960;3.831,69
Santander;252.483.750;1.310;3.844,87
Guide;214.340.124;1.105;3.850,11
Renascença;205.706.499;1.070;3.839,77
Merrill;205.082.375;1.070;3.826,24
Nova Futura;76.317.250;395;3.835,01
H.commcor;68.865.125;360;3.831,05
Terra;63.993.250;335;3.843,88
Socopa;49.492.125;260;3.830,11
Safra;38.400.000;200;3.840,00
Planner;2.929.125;15;3.861,09
Rico;1.941.375;10;3.847,67
Fator;1.900.125;10;3.866,75
Votorantim;-953.000;-5;3.812,00
Alfa;-18.499.125;-95;3.887,68
Intl;-22.380.250;-115;3.825,56
Citigroup;-23.105.875;-120;3.851,39
Clear;-52.638.250;-275;3.846,69
Goldman;-123.705.875;-655;3.836,06
Genial;-156.869.750;-815;3.841,74
Credit;-163.598.625;-835;3.847,03
Modal;-429.538.250;-2.240;3.846,56
Itaú;-1.114.260.624;-5.770;3.838,47
UBS;-1.321.191.500;-6.890;3.843,18
Morgan;-1.453.150.998;-7.550;3.838,77
Bradesco;-3.837.723.250;-20.010;3.835,72